{'timestamp': '2025-12-01T03:01:28.841662', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 900/min', 'details': {'connections_per_minute': 900, 'threshold': 50}}
{'timestamp': '2025-12-01T03:01:28.976555', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1127/min', 'details': {'connections_per_minute': 1127, 'threshold': 50}}
{'timestamp': '2025-12-01T03:02:28.984491', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 968/min', 'details': {'connections_per_minute': 968, 'threshold': 50}}
{'timestamp': '2025-12-01T03:02:29.174956', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '13.107.246.58', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:02:32.350506', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 873/min', 'details': {'connections_per_minute': 873, 'threshold': 50}}
{'timestamp': '2025-12-01T03:08:09.059706', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:08:09.663654', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.113.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:08:19.625736', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '203.171.247.17', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:08:25.439207', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:08:51.124246', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
